Song Name,Artist,Length,BPM,Level To Unlock,Easy,Hard,Master,Hidden,Pack,Song Cover
Sunshine and Rainbow after August Rain,yk!,1:29,172,,2,5,8,,Cute Is Everything Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/e0/Sunshine_and_Rainbow_after_August_Rain.png/80px-Sunshine_and_Rainbow_after_August_Rain.png?version=4e7e132cb9065b2f74121283941415c3
Magical Number,味素,2:08,135,,2,5,7,,Cute Is Everything Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/a/aa/Magical_Number.png/80px-Magical_Number.png?version=3e5391689632669a843c64298d027dc9
Dreaming Girl,Nano&板烧鹅尼子,1:51,167,,2,5,6,,Cute Is Everything Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/0/0a/Dreaming_Girl.png/80px-Dreaming_Girl.png?version=8706e13f05bf06c7b4072db0e300a255
Daruma-san Fell Over,Ncha-P,1:21,195,,3,4,6,,Cute Is Everything Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/b/b0/Daruma-san_Fell_Over.png/80px-Daruma-san_Fell_Over.png?version=e56ec6824f0b21d471fcfed5c798481a
Different,Ncha-P,1:22,109,,1,3,6,,Cute Is Everything Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/9/9b/Different.png/80px-Different.png?version=119e07067e9c9a4586892efb1267e804
The Future of the Phantom,Ncha-P,1:37,104,,1,3,5,,Cute Is Everything Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/c/c5/The_Future_of_the_Phantom.png/80px-The_Future_of_the_Phantom.png?version=0e1c012f54c0e6c7eb305a5cb4c505a3
Oriens,ginkiha,2:10,140~185,,3,7,9,,Give Up TREATMENT Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/b/b7/Oriens.png/80px-Oriens.png?version=148e0b507f4bf4d09855544fbfc6a606
PUPA,Morimori Atsushi,2:02,202,,6,8,11,,Give Up TREATMENT Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/e2/PUPA.png/80px-PUPA.png?version=4d0d07b1e52d436d1a0964bc36d06a9f
Luna Express 2032,Sakamiya feat.Mao Komiya,1:55,100~155,,4,6,8,,Give Up TREATMENT Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/1/18/Luna_Express_2032.png/80px-Luna_Express_2032.png?version=58bd6f37b1bf3e4f629317e747dbb12a
Ukiyoe Yokochou,Chaos City Niigata,2:02,192,,6,7,9,,Give Up TREATMENT Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/f/fd/Ukiyoe_Yokochou.png/80px-Ukiyoe_Yokochou.png?version=be17a46851983bbedb2015016c3dd0eb
