Song Name,Artist,Length,BPM,Level To Unlock,Easy,Hard,Master,Hidden,Pack,Song Cover
Goodbye Boss,KillerBlood,1:47,166,30,4,6,8,,Budget Is Burning Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/b/b0/Goodbye_Boss.png/80px-Goodbye_Boss.png?version=2c6aafb73fac58d9a846e92336496e7c
Stargazer,a_hisa,2:05,150,30,2,5,8,,Budget Is Burning Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/2/2b/Stargazer.png/80px-Stargazer.png?version=6dcbe965bd0cec82b0714879b1c8db2d
Lys Tourbillon,Chicala Lpis,1:52,160,30,4,6,8,,Budget Is Burning Vol.1,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/c/c6/Lys_Tourbillon.png/78px-Lys_Tourbillon.png?version=a2510ca85dfab45ff447a477af1534c6
Brave My Soul,uma feat.Mashiro,2:00,164,,4,6,8,,Give Up TREATMENT Vol.2,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/3/32/Brave_My_Soul.png/80px-Brave_My_Soul.png?version=72168d1cb4658fbc88a67f48bea9c04e
Halcyon,xi,2:28,40~191,,4,7,10,,Give Up TREATMENT Vol.2,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/ed/Halcyon.png/80px-Halcyon.png?version=56e88551b85fc46606236e99112b2bae
Crimson Nightingle,VeetaCrush,2:10,192,,4,7,10,,Give Up TREATMENT Vol.2,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/0/02/Crimson_Nightingle.png/80px-Crimson_Nightingle.png?version=16d5bf4fc52563ca658fea9c03b50e0e
Invader,SLT,2:09,180,,3,7,10,,Give Up TREATMENT Vol.2,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/7/77/Invader.png/80px-Invader.png?version=1734d333b8245b62f672295d165f1151
Lyrith,yumemidoll,2:21,177,,5,7,10,,Give Up TREATMENT Vol.2,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/3/3c/Lyrith.png/80px-Lyrith.png?version=6f43308b8e490af86f8c4e4b31fc2548
GOODBOUNCE (Groove Edit),EBIMAYO,2:08,180,,4,6,9,,Give Up TREATMENT Vol.2,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/5/5d/GOODBOUNCE_%28Groove_Edit%29.png/80px-GOODBOUNCE_%28Groove_Edit%29.png?version=9e23530c7bd60fe42f388144419fe653
Altale,Sakuzyo,2:26,83~90,,3,5,7,,Give Up TREATMENT Vol.3,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/1/17/Altale.png/80px-Altale.png?version=7b6725ad2868026eb9326bd7dfb78b84
