Pack,Freestyle Channel,Title,BPM,Composer,Vocalist,Genre,4B Normal,4B Hard,4B Maximum,4B SC,5B Normal,5B Hard,5B Maximum,5B SC,6B Normal,6B Hard,6B Maximum,6B SC,8B Normal,8B Hard,8B Maximum,8B SC,Platform Exclusivity
Respect V,Respect,Alone,142,marshmello,,,6,10,,,4,8,,,5,8,12,,5,8,12,,
Respect V,Respect,Get Jinxed,180,Riot Games,Agnete Kjølsrud,,5,8,13,,5,8,12,14,5,9,11,14,5,8,12,14,
Respect V,Respect,Ghost Voices,120,Virtual Self,,,4,9,,,5,11,,,6,10,,,6,11,,,
Respect V,Respect,POP/STARS,170,Riot Games,K/DA,,5,9,12,,5,8,12,15,5,8,11,14,5,9,13,15,
Respect V,Respect,Sad Machine,177,Porter Robinson,"Avanna, Porter Robinson",,3,5,8,,5,7,10,12,4,7,10,14,5,7,10,,
TAP SONIC,Respect,Chemical Slave,150,XeoN,,Euro Dance,5,11,,14,6,,11,,6,12,,15,3,8,14,,
TAP SONIC,Respect,comet,109,Mycin.T,,,3,8,,,5,9,,,6,10,,,5,11,,,
TAP SONIC,Respect,RockSTAR,126,Mr.Funky,,Electro House,5,9,,,4,11,,,4,11,,,3,7,13,,
TAP SONIC,Respect,Watch Your Step,130,XeoN,Vocal Forge(on Vocal Sample),90's Dance,4,,12,,5,8,,13,3,,10,14,3,6,13,,
Base,Portable 1,A.I,138,Forte Escape,,Techno,4,9,,,8,12,,14,7,11,13,,8,10,,14,
Base,Portable 1,Ask to wind,108,Forte Escape,Miya,R&B Fantasy,1,7,,,6,7,,,3,7,9,,4,8,,,
Base,Portable 1,Ask to wind Live Mix,210,Forte Escape,Miya,Live Pop,5,,12,15,6,10,,,7,11,,,7,,13,14,
Base,Portable 1,Astro Fight,183,Forte Escape,,Funky Stomp,8,13,,,8,11,,15,7,13,14,,8,12,,15,
Base,Portable 1,BlythE,170,M2U,Tari,Synth DnB,6,9,14,,6,11,,15,8,11,13,15,7,,14,,
Base,Portable 1,Bright Dream,130,M2U,Tari,Anime House,2,4,,,5,8,,,4,7,10,,6,9,,,
Base,Portable 1,Can We Talk,125,Forte Escape,Pyk,Acid Jazz,1,7,,,7,9,13,,5,8,11,,8,9,12,,
Base,Portable 1,Catch Me,145,Forte Escape,,Alternative Rock,3,6,,,6,,,,7,8,,,8,12,,,
Base,Portable 1,Chrono Breakers,178,NieN,NieN,Ani Pop,5,7,11,14,7,10,,,7,12,,14,8,12,,,
Base,Portable 1,CnP,127,CrooFE,,Electro Funk,3,8,12,,4,9,12,14,4,9,12,,5,10,12,14,
Base,Portable 1,Dreadnought,140,EarBreaker,,Big Beat,6,9,12,15,8,11,,,8,,13,15,8,13,,,
Base,Portable 1,Elastic STAR,132,Forte Escape,"So Fly, JC",Acid House,4,7,,,6,7,,,4,8,,,4,7,,,
Base,Portable 1,End of the Moonlight,155,Forte Escape,Miya,Techno Pop,3,7,10,,5,9,,14,5,9,12,14,7,11,,,
Base,Portable 1,Enemy Storm,133,Croove,JC,Hard Core,2,5,13,15,5,8,,,6,8,11,,5,10,14,14,
Base,Portable 1,Eternal Memory,125,M2U,Sanch,Fantasy Pop,2,6,,,3,9,,,2,7,,,5,7,,,
Base,Portable 1,Every Morning,150,ND Lee,Miya,80's 8bit,3,8,,,8,9,,,6,9,,,8,10,,,
Base,Portable 1,Extreme Z4,152,Forte Escape,,Break Beat,3,7,,,4,8,,,7,9,,,8,12,,,
Base,Portable 1,Fear,182,Supbaby,,DnB,4,9,,,5,9,12,,6,12,,,8,11,13,,
Base,Portable 1,Fever GJ,98,xxdbxx,Silver Water,Nu HnS,3,7,,,3,6,,,3,7,11,,7,,,,
