Genre,Song,Artist,BPM,BEGINNER,SPN,SPH,SPA,SPKA,DPN,DPH,DPA,DPKA,Disc,Style,Origin,Unlockable,RemyWiki Link
DRAMATIC EURO TRANCE,CROSSROAD,jun with TAHIRIH,170,,5,8,10,,6,8,10,,Premium Best,14,14,,https://remywiki.com/CROSSROAD
BUCHIAGE TRANCE,FIRE FIRE,StripE,150,2,7,10,12,,6,9,11,,Premium Best,14,14,,https://remywiki.com/FIRE_FIRE
RECKLESS RAVE,GOLD RUSH,DJ YOSHITAKA-G feat.Michael a la mode,162,3,7,9,11,,6,8,10,,Premium Best,14,14,,https://remywiki.com/GOLD_RUSH
FREEFORM HARDCORE,KAMAITACHI,DJ TECHNORCH fw. GUHROOVY,165,3,6,9,11,12,8,10,12,,Premium Best,14,14,,https://remywiki.com/KAMAITACHI
NU-SKOOL BREAKS,LASER CRUSTER,L.E.D.,152,3,7,11,12,,8,11,,,Premium Best,14,14,,https://remywiki.com/LASER_CRUSTER
HANDZ UP,Second Heaven,Ryu☆,149,3,5,8,11,,6,8,11,,Premium Best,14,14,,https://remywiki.com/Second_Heaven
TRANCE,snow storm,dj TAKA,145,2,4,9,10,12,4,10,12,,Premium Best,14,14,,https://remywiki.com/Snow_storm
SCHRANZ,the shadow,kors k,156,3,6,9,11,,5,9,11,,Premium Best,14,14,,https://remywiki.com/The_shadow
DECEPTIVE GABBA,VANESSA,朱雀,185,3,8,11,12,12,7,11,12,,Premium Best,14,14,,https://remywiki.com/VANESSA
HYPER J-POP ZERO,零 - ZERO -,TЁЯRA,180,1,6,8,9,10,6,8,10,,Premium Best,14,14,,https://remywiki.com/ZERO
HARD RENAISSANCE,"Anisakis -somatic mutation type""Forza""-",朱雀,185,3,5,9,11,12,6,10,12,12,Premium Best,15,15,,https://remywiki.com/Anisakis_-somatic_mutation_type%22Forza%22-
TRANCE,Blue Rain,dj TAKA Vs. Ryu☆,144,3,6,8,11,12,6,7,10,,Premium Best,15,15,,https://remywiki.com/Blue_Rain
HANDZ UP,Dazzlin' Darlin,HHH,144,2,4,7,10,,5,7,11,,Premium Best,15,15,,https://remywiki.com/Dazzlin%27_Darlin
TECH-BREAKBEATS,Digitank System,DJ Mass MAD Izm*,128,2,6,9,11,,5,8,10,,Premium Best,15,15,,https://remywiki.com/Digitank_System
IRREGULAR HI-BREAK,MENDES,Humanoid,168,3,6,11,12,12,6,10,12,12,Premium Best,15,15,,https://remywiki.com/MENDES
OUVERTÜRE,Ristaccia,Zektbach,160,2,6,9,12,,5,8,10,11,Premium Best,15,15,,https://remywiki.com/Ristaccia
NU STYLE GABBA,THE DEEP STRIKER,L.E.D.-G,173,3,6,10,11,12,5,10,11,12,Premium Best,15,15,,https://remywiki.com/THE_DEEP_STRIKER
DANCE SPEED,Time to Air,青龍,191,3,6,10,11,12,7,9,11,,Premium Best,15,15,,https://remywiki.com/Time_to_Air
TRANCE,Back Into The Light -Feelings Won't Fade Vocal Mix-,Sota Fujimori,144,,4,9,10,,5,9,11,,Premium Best,16CS,16CS,,https://remywiki.com/Back_Into_The_Light_-Feelings_Won%27t_Fade_Vocal_Mix-
HARDCORE,ERaSeR EnGinE DistorteD,L.E.D.-G VS GUHROOVY,177,,5,10,11,,6,10,12,,Premium Best,16CS,16CS,,https://remywiki.com/ERaSeR_EnGinE_DistorteD
