Genre,Song,Artist,BPM,BEGINNER,SPN,SPH,SPA,SPKA,DPN,DPH,DPA,DPKA,Disc,Style,Origin,Unlockable,RemyWiki Link
UK HARDCORE,THE SHINING POLARIS (kors k mix),Remixed by kors k,172,3,5,8,9,,6,7,8,,Empress,16,16,,https://remywiki.com/THE_SHINING_POLARIS_(kors_k_mix)
ELEMENTAL CHANT,Turii ～Panta rhei～,Zektbach,148,2,4,9,10,,4,8,10,,Empress,16,16,,https://remywiki.com/Turii_~Panta_rhei~
HOUSE,thunder HOUSE NATION Remix,Remix by Sunset In Ibiza (SII),128,1,4,7,9,12,5,8,10,,Empress,16,16,,https://remywiki.com/Thunder_HOUSE_NATION_Remix
PROGRESSIVE,V₂,TAKA,150,3,6,10,11,,5,10,11,,Empress,16,16,,https://remywiki.com/V2
90's RAVE,Y&Co. is dead or alive,Y&Co.,145-876,3,5,9,10,12,5,10,11,12,Empress,16,16,,https://remywiki.com/Y%26Co._is_dead_or_alive
ONLY ONE TECHNO,"You'll say ""Now!""",BLACK STAR 幸広-YUKIHIRO-,155,3,6,10,11,,7,10,11,,Empress,16,16,,https://remywiki.com/You%27ll_say_%22Now!%22
DRAGON'BASS,アタック NO.3,IDEA NOTE,170,2,5,7,9,,6,9,10,,Empress,16,16,,https://remywiki.com/Attack_NO.3
HOU-ROCK,ハリツヤランデヴー,Des-MASTERS,143,2,5,8,10,,5,8,10,,Empress,16,16,,https://remywiki.com/Haritsuya_rendez-vous
J-DANCE POP,まほろば,HHH+H,149,2,5,7,9,11,5,8,11,,Empress,16,16,,https://remywiki.com/Mahoroba
TRENDY TECHNO,ミッドナイト堕天使,Dr. Honda,150,2,5,7,9,11,5,8,9,11,Empress,16,16,,https://remywiki.com/Midnight_datenshi
ポップス,山岡晃の「クイズ！家事都合！」,AKIRA YAMAOKA feat.喜屋武ちあき,148,1,4,7,10,,5,8,10,,Empress,16,16,,https://remywiki.com/Yamaoka_Akira_no_%22Quiz!_Kajitsugou!%22
IRON CONCERTO,鉄甲乙女 -under the steel-,Seiya Murai,160,2,4,7,10,,5,9,10,,Empress,16,16,,https://remywiki.com/Tekkou_otome_-under_the_steel-
RAGE AGAINST EMPRESS,天空脳番長危機十六連打,D.J.SETUP,150,3,5,10,11,,5,10,11,,Empress,16,16,,https://remywiki.com/Techno_banchou_kiki_juuroku_renda
ESOTERIC SPEEDCORE,卑弥呼,朱雀 VS 玄武,83-185,3,6,11,12,12,7,11,12,12,Empress,16,16,,https://remywiki.com/Himiko
HARDCORE,不沈艦CANDY,Risk Junk,188,3,6,9,12,,6,9,11,,Empress,16,16,,https://remywiki.com/Fuchinkan_CANDY
J-TRANCE,翼,小林ゆう,148,1,4,7,9,10,5,8,9,11,Empress,16,16,,https://remywiki.com/Tsubasa_(Yuu_Kobayashi)
撫子ロック,凛として咲く花の如く,紅色リトマス,163,2,6,9,10,11,6,9,10,12,Empress,16,16,,https://remywiki.com/Rin_to_shite_saku_hana_no_gotoku
JAPANESE ALTERATION,花吹雪 ～ IIDX LIMITED ～,S.S.D.FANTASICA feat.ユッコ,150,2,4,6,8,,5,7,8,,Empress,14,14,,https://remywiki.com/Hanafubuki_~_IIDX_LIMITED_~
BRAZILIAN HOUSE,INFERNO,Caldeira feat.星野奏子,135,1,5,7,9,,5,7,10,,Empress,13,13,,https://remywiki.com/INFERNO
CONTEMPORARY,嘆きの樹,金獅子,160,3,8,11,12,,7,11,12,,Empress,13,13,,https://remywiki.com/Nageki_no_ki
NOSTALISH REQUIEM,CaptivAte～浄化～,A/I,160,2,5,9,11,,5,9,11,,Empress,12,12,,https://remywiki.com/CaptivAte~jouka~
SWING WALTZ,garden,青野りえ,220,3,4,7,10,,4,7,12,,Empress,12,12,,https://remywiki.com/Garden
EUROBEAT,POODLE,Y&Co.,160,2,5,8,10,,5,8,11,,Empress,12,12,,https://remywiki.com/POODLE
DIGI-ROCK,rage against usual,dj TAKA feat.Gt.Shintaro,152,3,7,10,12,,6,10,11,,Empress,12,12,,https://remywiki.com/Rage_against_usual
J-EUROBEAT,月光,Tatsh feat.星野奏子,155,1,5,8,10,,4,9,10,,Empress,12,12,,https://remywiki.com/Gekkou
HUMAN SEQUENCER,冥,Amuro vs Killer,66-200,3,5,10,12,,5,11,12,,Empress,12,12,,https://remywiki.com/Mei
RENAISSANCE,AA,D.J.Amuro,154,3,5,10,12,,5,9,12,,Empress,11,11,,https://remywiki.com/AA
