Name,Song Artist,Original Artist,BPM,NOVICE,ADVANCED,EXHAUST,Classification,Contest,RemyWiki Link,Novice Jacket Link,Advanced Jacket Link,Exhaust Jacket Link
物凄い勢いでけーねが物凄いうた,Halozy,ZUN (Team Shanghai Alice),180,5,11,14,Touhou Project Arrangement,,https://remywiki.com/Monosugoi_ikioide_Keine_ga_monosugoi_uta,https://remywiki.com/images/b/bd/Monosugoi_ikioide_Keine_ga_monosugoi_uta.png,,
DesireDrive,岸田教団&THE明星ロケッツ,ZUN (Team Shanghai Alice),180,5,10,13,Touhou Project Arrangement,,https://remywiki.com/DesireDrive,https://remywiki.com/images/f/f2/DesireDrive.png,,
-Rayrain-,こなぐすり,ZUN (Team Shanghai Alice),180,3,9,12,Touhou Project Arrangement,,https://remywiki.com/-Rayrain-,https://remywiki.com/images/3/36/Rayrain.png,,
Silent Story,発熱巫女～ず,ZUN (Team Shanghai Alice),126,2,8,11,Touhou Project Arrangement,,https://remywiki.com/Silent_Story,https://remywiki.com/images/b/b9/Silent_Story.png,,
泡沫、哀のまほろば,幽閉サテライト feat. senya,ZUN (Team Shanghai Alice),155,2,8,13,Touhou Project Arrangement,,"https://remywiki.com/Utakata,_ai_no_mahoroba",https://remywiki.com/images/2/25/Utakata%2C_ai_no_mahoroba.png,,
究極焼肉レストラン！お燐の地獄亭！,ARM (IOSYS),ZUN (Team Shanghai Alice),185,5,10,13,Touhou Project Arrangement,,https://remywiki.com/Kyuukyoku_yakiniku_restaurant!_Orin_no_jigokutei!,https://remywiki.com/images/1/1d/Kyuukyoku_yakiniku_restaurant%21_Orin_no_jigokutei%21.png,,
ナイト・オブ・ナイツ,ビートまりお(COOL&CREATE),ZUN (Team Shanghai Alice),180,5,11,14,Touhou Project Arrangement,,https://remywiki.com/Night_of_knights,https://remywiki.com/images/8/8f/Night_of_knights.png,,
Earthquake Super Shock - SDVX Edit. -,SOUND HOLIC feat. Nana Takahashi,ZUN (Team Shanghai Alice),175,4,10,14,Touhou Project Arrangement,,https://remywiki.com/Earthquake_Super_Shock_-_SDVX_Edit._-,https://remywiki.com/images/5/56/Earthquake_Super_Shock_-_SDVX_Edit._-.png,,
Strawberry Crisis,CROW'SCLAW,ZUN (Team Shanghai Alice),198,4,10,14,Touhou Project Arrangement,,https://remywiki.com/Strawberry_Crisis,https://remywiki.com/images/8/81/Strawberry_Crisis.png,,
Wheel,Syrufit feat.綾倉盟 / 市松椿,ZUN (Team Shanghai Alice),136,3,11,14,Touhou Project Arrangement,,https://remywiki.com/Wheel,https://remywiki.com/images/4/44/Wheel.png,,
秘封倶楽部の未踏世界,君の美術館,ZUN (Team Shanghai Alice),146,2,9,13,Touhou Project Arrangement,,https://remywiki.com/Hifuu_club_no_mitou_sekai,https://remywiki.com/images/2/28/Hifuu_club_no_mitou_sekai.png,,
