Name,Song Artist,Original Artist,BPM,NOVICE,ADVANCED,EXHAUST,Classification,Contest,RemyWiki Link,Novice Jacket Link,Advanced Jacket Link,Exhaust Jacket Link
World Vertex,void,,160,4,10,14,Original,BPM145-180 Only! Hi-Tension 4-beat Instrumental Original Song,https://remywiki.com/World_Vertex,https://remywiki.com/images/c/c5/World_Vertex.png,,
香港功夫大旋風,Daisuke Ohnuma,,178,6,11,15,Original,BPM145-180 Only! Hi-Tension 4-beat Instrumental Original Song,https://remywiki.com/Hong_Kong_kung-fu_hurricane,https://remywiki.com/images/a/ae/Hong_Kong_kung-fu_hurricane_ADV.png,,https://remywiki.com/images/5/59/Hong_Kong_kung-fu_hurricane_EXH.png
レトロスペクティビリー・メリーゴーランド,はるなば,,180,2,7,12,Original,BPM145-180 Only! Hi-Tension 4-beat Instrumental Original Song,https://remywiki.com/Retrospectively_merry-go-round,https://remywiki.com/images/d/d8/Retrospectively_merry-go-round.png,,
Ray,源屋,,175,4,8,12,Original,RASIS Theme Song -Please dye it with your color-,https://remywiki.com/Ray,https://remywiki.com/images/3/34/Ray.png,,
Soundscape,Hommarju,,165,4,9,13,Original,RASIS Theme Song -Please dye it with your color-,https://remywiki.com/Soundscape,https://remywiki.com/images/a/a1/Soundscape.png,,
V.I.P.,ismK,,169,6,11,15,Original,BEMANI Backstage Theme Song,https://remywiki.com/V.I.P.,https://remywiki.com/images/5/5e/V.I.P..png,,
Absurd Gaff,siromaru,,160,6,11,15,Original,KAC2012 Original Song,https://remywiki.com/Absurd_Gaff,https://remywiki.com/images/9/9d/Absurd_Gaff_ADV.png,,
croiX,TeamGrimoire+あま猫,,160-195,6,12,15,Original,KAC2012 Original Song,https://remywiki.com/CroiX,https://remywiki.com/images/0/0d/CroiX.png,,
Dynasty,Yooh,,189,6,12,15,Original,KAC2012 Original Song,https://remywiki.com/Dynasty,https://remywiki.com/images/8/88/Dynasty.png,,
éclair au chocolat,kamome sano,,182,3,9,14,Original,KAC2012 Original Song,https://remywiki.com/Eclair_au_chocolat,https://remywiki.com/images/5/55/Eclair_au_chocolat.png,,
EGG,ginkiha,,196,3,9,13,Original,KAC2012 Original Song,https://remywiki.com/EGG,https://remywiki.com/images/6/69/EGG.png,,
Gott,Hommarju,,195,6,11,15,Original,KAC2012 Original Song,https://remywiki.com/Gott,https://remywiki.com/images/c/c4/Gott.png,,
Max Burning!!,BlackY,,190,7,12,15,Original,KAC2012 Original Song,https://remywiki.com/Max_Burning!!,https://remywiki.com/images/4/4f/Max_Burning%21%21.png,,
PANIC HOLIC,C-Show,,220,6,11,15,Original,KAC2012 Original Song,https://remywiki.com/PANIC_HOLIC,https://remywiki.com/images/2/28/PANIC_HOLIC.png,,
TRIGGER★HAPPY,P*Light,,185,5,10,14,Original,KAC2012 Original Song,https://remywiki.com/TRIGGER_HAPPY,https://remywiki.com/images/4/48/TRIGGER_HAPPY.png,,
VISION,nora2r,,173,3,8,13,Original,KAC2012 Original Song,https://remywiki.com/VISION,https://remywiki.com/images/6/67/VISION.png,,
線香花火 SDVX edit,kamome sano,,188,1,6,11,Original,KAC2012 Original Song,https://remywiki.com/Senkou_hanabi_SDVX_edit,https://remywiki.com/images/b/b3/Senkou_hanabi_SDVX_edit.png,,
大宇宙ステージ,黒魔,,202,5,11,15,Original,KAC2012 Original Song,https://remywiki.com/Daiuchuu_stage,https://remywiki.com/images/a/aa/Daiuchuu_stage.png,,
BlueSky,Noriyuki,,184,4,9,13,Original,GUMI Only! Original Song,https://remywiki.com/BlueSky,https://remywiki.com/images/4/49/BlueSky.png,,
Disagree Feelings,uno(IOSYS),,170,6,11,14,Original,GUMI Only! Original Song,https://remywiki.com/Disagree_Feelings,https://remywiki.com/images/c/ce/Disagree_Feelings.png,,
MANDARA,さたな,,216,5,11,14,Original,GUMI Only! Original Song,https://remywiki.com/MANDARA,https://remywiki.com/images/a/a3/MANDARA.png,,
true feeling？～本当の気持ち♪～,shin,,165,4,10,12,Original,GUMI Only! Original Song,https://remywiki.com/True_feeling%3F_~hontou_no_kimochi~,https://remywiki.com/images/4/4b/True_feeling_~hontou_no_kimochi~.png,,
金縛りの逢を,はるなば,,200,6,11,15,Original,GUMI Only! Original Song,https://remywiki.com/Kanashibari_no_ai_wo,https://remywiki.com/images/d/da/Kanashibari_no_ai_wo.png,,
境界インサニティー,Toma+o,,190,6,11,13,Original,GUMI Only! Original Song,https://remywiki.com/Kyoukai_insanity,https://remywiki.com/images/7/78/Kyoukai_insanity.png,,
センチメント,uno(IOSYS),,123,1,7,12,Original,GUMI Only! Original Song,https://remywiki.com/Sentiment,https://remywiki.com/images/2/2a/Sentiment.png,,
ナツノメイロ,stereoberry,,148,4,11,14,Original,GUMI Only! Original Song,https://remywiki.com/Natsu_no_meiro,https://remywiki.com/images/4/41/Natsu_no_meiro.png,,
